Year,GHGRP ID,National Pollutant Release Inventory (NPRI) identifier,Company & facility name,NAICS,City,Province / territory,CO2,CH4,N20,HFCs,PFCs,SF6,Total
2008,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,259392.926875,8070.249900,3325.680000,0.000000,0.000000,0.000000,270788.856775
2008,G10006,2134,Agrium Inc. - Agrium Redwater Fertilizer Operation,325313,REDWATER,Alberta,1144569.522461,19010.877775,13341.639098,0.000000,0.000000,0.000000,1176922.039334
2008,G10007,3974,Alberta Envirofuels Inc. - Alberta Envirofuels Inc.,325190,EDMONTON,Alberta,278725.989990,730.749975,1657.774000,0.000000,0.000000,0.000000,281114.513965
2008,G10008,,Alliance Pipeline Ltd. - Alberta Pipeline System,486210,CALGARY,Alberta,543457.253500,19570.172700,3786.596600,0.000000,0.000000,0.000000,566814.022800
2008,G10009,1,Alberta-Pacific Forest Industries Inc. acting as a - Alberta-Pacific Forest Industries Inc. Pulp Mill,322112,COUNTY OF ATHABASCA,Alberta,91674.568359,2120.944950,17695.061498,0.000000,0.000000,0.000000,111490.574807
2008,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,79069.274788,145617.792500,3684.770000,0.000000,0.000000,0.000000,228371.837288
2008,G10017,1902,Nexen Inc. - Balzac Gas Processing Plant,211113,BALZAC,Alberta,214967.180000,13474.750325,1596.684000,0.000000,0.000000,0.000000,230038.614325
2008,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,5051042.500000,1271.757500,21922.161698,0.000000,0.000000,0.000000,5074236.419198
2008,G10023,424,Imperial Oil Resources - Bonnie Glen Gas Plant,211113,THORSBY,Alberta,40976.838808,12120.500350,641.594000,0.000000,0.000000,0.000000,53738.933158
2008,G10029,3749,Blaze Energy Ltd. - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,94784.048829,59783.582950,1864.079400,0.000000,0.000000,0.000000,156431.711179
2008,G10030,3749,Keyera Energy  - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,80384.931768,6937.304800,3073.631600,0.000000,0.000000,0.000000,90395.868168
2008,G10040,15740,Calgary Energy Centre No. 2 Inc - Calgary Energy Center,221112,CALGARY,Alberta,272332.750000,507.125000,2168.546000,0.000000,0.000000,0.000000,275008.421000
2008,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1635508.187500,414.737500,4728.753400,0.000000,0.000000,0.000000,1640651.678400
2008,G10045,5357,Cancarb Ltd. - Cancarb Ltd.,325189,MEDICINE HAT,Alberta,117208.979794,3083.749950,385.433200,0.000000,0.000000,4.560000,120682.722944
2008,G10046,11393,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,1508450.470000,332941.751100,21494.740596,0.000000,0.000000,0.000000,1862886.961696
2008,G10049,16687,EnCana Oil & Gas Co. Ltd. - Caribou North Compressor Station,211113,BONNYVILLE,Alberta,50865.808281,15644.549750,361.176000,0.000000,0.000000,0.000000,66871.534031
2008,G10053,3269,Agrium Inc - Carseland Nitrogen Operations,325313,CARSELAND,Alberta,513130.000000,16730.250125,1999.580000,0.000000,0.000000,0.000000,531859.830125
2008,G10054,6700,"TransCanada Energy Ltd. - Carseland Power Plant, Alberta",221112,CARSELAND,Alberta,307824.031250,530.499975,2372.080000,0.000000,0.000000,0.000000,310726.611225
2008,G10055,2857,Orica Canada Inc - Carseland Works,325313,CARSELAND,Alberta,555.838104,16.230000,534339.032000,0.000000,0.000000,0.000000,534911.100104
2008,G10056,1411,Bonavista Petroleum Ltd. - Carstairs - Crossfield Gas Plant,211113,CARSTAIRS,Alberta,75249.121872,987.372550,440.056600,0.000000,0.000000,0.000000,76676.551022
2008,G10058,6633,EnCana Corporation - Cavalier Power Plant,221112,STRATHMORE,Alberta,157387.474750,422.350000,1206.006000,0.000000,0.000000,0.000000,159015.830750
2008,G10065,6625,FCCL Oil Sands Partnership - Christina Lake SAGD Bitumen Battery,211114,LAC LA BICHE,Alberta,176863.772256,1355.600025,292.636000,0.000000,0.000000,0.000000,178512.008281
2008,G10068,6576,"CITY OF MEDICINE HAT - CITY OF MEDICINE HAT, ELECTRIC UTILITY - GENERATION",221112,MEDICINE HAT,Alberta,345629.406250,3052.774900,2659.948000,0.000000,0.000000,0.000000,351342.129150
2008,G10071,5248,Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant,211113,COCHRANE,Alberta,349697.866531,9710.367350,2173.463000,0.000000,0.000000,0.000000,361581.696881
2008,G10073,442,Imperial Oil Resources - Cold Lake,211114,BONNYVILLE,Alberta,4497260.059936,13430.975150,23079.085906,0.000000,0.000000,0.000000,4533770.120992
2008,G10086,15437,ATCO Gas and Pipelines Ltd - ATCO Gas - Distribution Systems and Carbon Plant,221210,ALBERTA,Alberta,33182.311012,200590.829475,2066.630000,0.000000,0.000000,0.000000,235839.770487
2008,G10095,24315,City of Calgary - East Calgary Landfill,562210,CALGARY,Alberta,13655.500000,91400.000000,0.000000,0.000000,0.000000,0.000000,105055.500000
2008,G10096,4140,PrimeWest Energy Inc. - East Crossfield Gas Plant 9-14-28-01W4,211113,CROSSFIELD,Alberta,136559.105263,7299.960150,528.115600,0.000000,0.000000,0.000000,144387.181013
2008,G10098,3903,Petro-Canada - Edmonton Refinery,324110,EDMONTON,Alberta,1421967.000000,8800.837350,8415.579600,0.000000,0.000000,0.000000,1439183.416950
2008,G10100,5284,Talisman Energy Inc. - Edson Gas Plant,211113,EDSON,Alberta,230323.573650,12161.472525,1453.942000,0.000000,0.000000,0.000000,243938.988175
2008,G10106,23956,ConocoPhillips Canada (BRC) Ltd. - Elmworth Gas Plant,211113,ELMWORTH,Alberta,219039.755945,25922.800050,1754.028000,0.000000,0.000000,0.000000,246716.583995
2008,G10108,3752,Spectra Energy Empress LP - Empress Straddle Plant System,211113,CYPRESS COUNTY,Alberta,374139.279688,4611.500125,1752.240000,0.000000,0.000000,0.000000,380503.019813
2008,G10111,6826,Graymont Western Canada Inc. - Exshaw,327410,EXSHAW,Alberta,157606.019989,22.675000,188.336000,0.000000,0.000000,0.000000,157817.030989
2008,G10112,5291,Lafarge Canada Inc - Exshaw Cement Plant,327310,EXSHAW,Alberta,1112559.905762,0.000000,0.000000,0.000000,0.000000,0.000000,1112559.905762
2008,G10119,2132,Sherritt International Corporation - Fort Saskatchewan,331410,FORT SASKATCHEWAN,Alberta,285363.369385,4681.227600,2863.720400,0.000000,0.000000,0.000000,292908.317385
2008,G10120,5352,TransAlta Generation Partnership - Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,221112,FORT SASKATCHEWAN,Alberta,342240.218750,666.925000,2772.621800,0.000000,0.000000,0.000000,345679.765550
2008,G10121,4874,Agrium Inc. - Fort Saskatchewan Nitrogen Operation,325313,FORT SASKATCHEWAN,Alberta,507100.069763,958.642450,1521.290000,0.000000,0.000000,0.000000,509580.002213
2008,G10123,6627,FCCL Oil Sands Partnership - Foster Creek Cogeneration Facility,221112,BONNYVILLE,Alberta,468144.621250,864.225000,5159.274000,0.000000,0.000000,66.120000,474234.240250
2008,G10124,6627,FCCL Oil Sands Partnership - Foster Creek SAGD Bitumen Battery,211114,BONNYVILLE,Alberta,678473.626863,4921.175000,1052.536000,0.000000,0.000000,0.000000,684447.337863
2008,G10125,18996,MEGlobal Canada Inc. - FS1 EOEG,325190,FORT SASKATCHEWAN,Alberta,72500.352514,1073.974975,0.000000,0.000000,0.000000,0.000000,73574.327489
2008,G10127,267,EPCOR Power Generation Services Inc. - Genesee Thermal Generating Station,221112,WARBURG,Alberta,8315862.500000,2684.537500,45336.019314,0.000000,0.000000,0.000000,8363883.056814
2008,G10130,2875,Weyerhaeuser Company Limited - Grande Prairie Operations,322112,GRANDE PRAIRIE,Alberta,70821.494934,28143.485550,8977.428800,0.000000,0.000000,0.000000,107942.409284
2008,G10132,1039,Milner Power Limited Partnership by its GP Milner Power Inc. - H.R. Milner Generating Station,221112,GRANDE CACHE,Alberta,752294.654297,302.245000,3970.194400,0.000000,0.000000,0.000000,756567.093697
2008,G10134,17122,Japan Canada Oil Sands Limited - Hangingstone SAGD Demonstration Facility,211114,RM OF WOOD BUFFALO,Alberta,233115.455666,1450.112450,364.960600,0.000000,0.000000,0.000000,234930.528716
2008,G10135,3758,Petro-Canada Oil & Gas - Hanlan Robb Gas Plant,211113,EDSON,Alberta,391969.843750,18297.987125,919.210800,0.000000,0.000000,0.000000,411187.041675
2008,G10137,3941,Taylor Processing Inc. - Harmattan Gas Processing Plant,211113,DIDSBURY,Alberta,246113.828457,20071.325000,1136.870000,0.000000,0.000000,0.000000,267322.023457
2008,G10143,21885,TransAlta Generation Partnership - Highvale Coal Mine,212115,DUFFIELD,Alberta,98562.578125,143758.826950,927.852800,0.000000,0.000000,0.000000,243249.257875
2008,G10144,2991,West Fraser Mills Ltd. - Hinton Pulp,322112,HINTON,Alberta,119473.459961,23346.249375,8889.042298,0.000000,0.000000,0.000000,151708.751634
2008,G10152,6556,INEOS Canada Partnership - Joffre LAO Plant,325110,JOFFRE,Alberta,103160.260743,89.947500,545.101600,0.000000,0.000000,0.000000,103795.309843
2008,G10159,4150,SemCams ULC - KA 1-12 GP,211113,FOX CREEK,Alberta,223740.298383,14074.524600,2473.698000,0.000000,0.000000,0.000000,240288.520983
2008,G10160,683,SemCams ULC - K3 1-15 GP,211113,FOX CREEK,Alberta,459932.595055,6882.232350,2551.118400,0.000000,0.000000,0.000000,469365.945805
2008,G10162,2286,TransAlta Generation Partnership - KEEPHILLS THERMAL ELECTRIC POWER GENERATING PLANT,221112,DUFFIELD,Alberta,6088588.330399,1700.380050,40246.450792,0.000000,0.000000,0.000000,6130535.161241
2008,G10176,5243,Lehigh Cement - Lehigh Inland Cement,327310,EDMONTON,Alberta,838009.000000,0.000000,0.000000,0.000000,0.000000,0.000000,838009.000000
2008,G10179,19219,"TransCanada Energy Ltd. - Mackay River Power Plant, Alberta",221112,FORT MCMURRAY,Alberta,779409.812500,1368.999950,6055.360000,0.000000,0.000000,0.000000,786834.172450
2008,G10180,17630,"Petro-Canada - MacKay River, In-Situ Oil Sands Plant",211114,FORT MCMURRAY,Alberta,168298.559265,251.040000,917.840000,0.000000,0.000000,0.000000,169467.439265
2008,G10187,2274,Syncrude Canada Ltd. - Mildred Lake and Aurora North Plant Sites,211114,FORT MCMURRAY,Alberta,10991999.007138,756860.869050,141773.594764,0.000000,0.000000,0.000000,11890633.470952
2008,G10196,6647,ATCO Power Canada Ltd. - Muskeg River Cogeneration Plant,221112,FORT MCMURRAY,Alberta,1133306.500000,1616.967425,6500.244498,0.000000,0.000000,0.000000,1141423.711923
2008,G10197,6647,Shell Canada Energy - Shell Albian Sands Muskeg River Mine,211114,FORT MCMURRAY,Alberta,538702.854004,28785.225100,3872.897400,0.000000,0.000000,0.000000,571360.976504
2008,G10202,5337,Keyera Energy  - Nevis Gas Plant,211113,STETTLER,Alberta,105907.710319,10553.012325,461.840400,0.000000,0.000000,0.000000,116922.563044
2008,G10211,1779,NOVA Chemicals Corporation - NOVA Chemicals Corporation (Joffre),325110,RED DEER,Alberta,2695556.800677,3161.802475,11547.976800,0.000000,0.000000,91.200000,2710357.779952
2008,G10219,2128,Shell Canada Limited - Peace River Complex,211114,PEACE RIVER,Alberta,349229.588348,1910.969950,1808.174600,0.000000,0.000000,0.000000,352948.732898
2008,G10220,223,Daishowa-Marubeni International Ltd-Peace River Pu - Peace River Pulp Division,322112,MD OF NORTHERN LIGHTS,Alberta,73001.482422,35996.901225,9946.048298,0.000000,0.000000,0.000000,118944.431945
2008,G10232,2316,MEGlobal Canada Inc. - Prentiss Manufacturing Facility,325190,LACOMBE COUNTY,Alberta,167898.703125,1156.759950,234.228000,0.000000,0.000000,0.000000,169289.691075
2008,G10237,426,Imperial Oil Resources - Quirk Creek Gas Plant,211113,MILLARVILLE,Alberta,86679.831094,6450.000050,666.924000,0.000000,0.000000,0.000000,93796.755144
2008,G10241,6609,ATCO Power Canada Ltd - Rainbow Lake Cogeneration Power Plant (Units 4-5),221112,RAINBOW LAKE,Alberta,241250.453125,480.462525,1960.720800,0.000000,0.000000,0.000000,243691.636450
2008,G10242,6613,Alberta Power (2000) Ltd. - Rainbow Lake Generating Station (Units 1-3),221112,RAINBOW LAKE,Alberta,29268.732422,58.890000,237.833800,0.000000,0.000000,0.000000,29565.456222
2008,G10243,407,Husky Oil Operations Ltd - Ram River,211113,RAM RIVER,Alberta,657157.843750,4753.750050,1412.520000,0.000000,0.000000,0.000000,663324.113800
2008,G10246,6701,"TransCanada Energy Ltd. - Redwater Cogeneration Facility, Alberta",221112,REDWATER,Alberta,174001.875000,290.750000,1326.100000,0.000000,0.000000,0.000000,175618.725000
2008,G10249,1372,Keyera Energy - Rimbey Gas Plant,211113,RIMBEY,Alberta,232135.959054,8152.599925,2794.077800,0.000000,0.000000,0.000000,243082.636779
2008,G10260,2963,Shell Chemicals Canada Ltd - Scotford Chemical Plant,325110,STRATHCONA COUNTY,Alberta,316372.813025,254.250000,758.827200,2239.570000,0.000000,0.000000,319625.460225
2008,G10261,6219,Air Liquide Canada Inc. - Scotford Complex,221112,FORT SASKATCHEWAN,Alberta,421047.162476,695.550025,3152.482400,0.000000,0.000000,0.000000,424895.194901
2008,G10262,6546,Shell Canada Energy Limited - Scotford Upgrader and Upgrader Cogeneration,211114,FORT SASKATCHEWAN,Alberta,1772092.750000,6259.262375,10960.290702,0.000000,0.000000,0.000000,1789312.303077
2008,G10265,1036,Alberta Power (2000) Ltd. - Sheerness Generating Station,221112,HANNA,Alberta,5995811.877380,1547.667525,26578.887306,0.000000,0.000000,0.000000,6023938.432211
2008,G10266,2781,Shell Canada Limited - Shell Burnt Timber Gas Plant,211113,SUNDRE,Alberta,176453.427244,1106.862475,298.625800,0.000000,0.000000,0.000000,177858.915519
2008,G10267,2120,Shell Canada Limited - Shell Caroline Complex,211113,CAROLINE,Alberta,540411.156950,4479.514850,1325.563600,0.000000,0.000000,0.000000,546216.235400
2008,G10268,2119,Shell Canada Limited - Shell Jumping Pound Gas Plant,211113,CALGARY,Alberta,270675.906188,6557.632550,755.608800,0.000000,0.000000,0.000000,277989.147538
2008,G10269,2960,Shell Canada Products - Shell Scotford Refinery,324110,FORT SASKATCHEWAN,Alberta,996548.179688,9312.589850,2441.633200,0.000000,0.000000,0.000000,1008302.402738
2008,G10277,1374,Keyera Energy - Strachan GP,211113,ROCKY MOUNTAIN HOUSE,Alberta,263823.105512,10494.232375,2486.720600,0.000000,0.000000,0.000000,276804.058487
2008,G10278,3707,Imperial Oil Limited - Strathcona Refinery,324110,EDMONTON,Alberta,1406461.511719,2623.700050,8160.491600,0.000000,0.000000,0.000000,1417245.703369
2008,G10281,2284,TransAlta Generation Partnership - SUNDANCE THERMAL ELECTRIC POWER GENERATING PLANT,221112,DUFFIELD,Alberta,14791591.213867,4237.864925,99566.654420,0.000000,0.000000,0.000000,14895395.733212
2008,G10311,2282,TransAlta Generation Partnership - WABAMUN THERMAL ELECTRIC POWER GENERATING PLANT,221112,WABAMUN,Alberta,2414592.846100,731.065000,17379.747400,0.000000,0.000000,0.000000,2432703.658500
2008,G10312,432,Devon Canada Corporation - Wapiti Gas Plant,211113,GROVEDALE,Alberta,113579.085450,6264.665025,1253.149600,0.000000,0.000000,0.000000,121096.900075
2008,G10313,2108,Shell Canada Limited - Waterton Complex,211113,PINCHER CREEK,Alberta,258216.986450,4884.712500,3295.135000,0.000000,0.000000,0.000000,266396.833950
2008,G10314,4138,SemCams ULC - Windfall 8-17 GP,211113,WHITECOURT,Alberta,150503.603982,15005.200125,4304.908000,0.000000,0.000000,0.000000,169813.712107
2008,G10316,280,Dow Chemical Canada ULC - Western Canada Operations,325190,FORT SASKATCHEWAN,Alberta,1387460.847656,2160.572475,3212.916800,2288.000000,0.000000,0.000000,1395122.336931
2008,G10321,3751,Petro-Canada Oil & Gas - Wildcat Hills Gas Plant,211113,COCHRANE,Alberta,125538.839844,4721.139900,2631.697600,0.000000,0.000000,0.000000,132891.677344
2008,G10324,4136,Canadian Natural Resources Limited - Wolf Lake/Primrose Thermal Operation,211114,BONNYVILLE,Alberta,2775477.000000,86869.223775,17343.004298,0.000000,0.000000,0.000000,2879689.228073
2008,G10341,6611,ATCO Power Canada Ltd.  - Poplar Hill Generating Station,221112,GRANDE PRAIRIE,Alberta,17972.041016,35.792500,146.049800,0.000000,0.000000,0.000000,18153.883316
2008,G10349,6615,ATCO Power Canada Ltd.  - Valleyview Generating Station,221112,VALLEYVIEW,Alberta,7605.752930,15.145000,61.805200,0.000000,0.000000,0.000000,7682.703130
2008,G10356,6560,Nexen Inc. - Balzac Power Station,221112,BALZAC,Alberta,180748.000000,886.500025,1397.620000,0.000000,0.000000,0.000000,183032.120025
2008,G10359,1585,Coal Valley Resources Inc. - Coal Valley Mine,212114,EDSON,Alberta,132383.000000,48884.401075,953.898000,0.000000,0.000000,0.000000,182221.299075
2008,G10361,19995,Air Products Canada Ltd - Edmonton-1 and 2 Hydrogen Facility,325120,EDMONTON,Alberta,648319.000000,224.100000,894.000000,0.000000,0.000000,0.000000,649437.100000
2008,G10371,1074,Pengrowth Corporation - Olds Gas Plant,211113,OLDS,Alberta,108365.379613,3175.334900,1857.940600,0.000000,0.000000,0.000000,113398.655113
2008,G10375,2316,Dow Chemical Canada ULC - Prentiss Manufacturing Facility,325110,LACOMBE COUNTY,Alberta,37451.941162,630.499975,26.820000,0.000000,0.000000,0.000000,38109.261137
2008,G10380,18142,TransCanada Energy Ltd. - Bear Creek Power Plant,221112,GRANDE PRAIRIE,Alberta,78330.921875,152.750000,634.740000,0.000000,0.000000,0.000000,79118.411875
2008,G10382,5367,General Scrap Partnership - GenAlta Recycling Inc.,339990,EDMONTON,Alberta,678.659973,0.000000,0.000000,0.000000,0.000000,0.000000,678.659973
2008,G10390,22378,Nexen Inc. - Long Lake Project,211114,FORT MCMURRAY,Alberta,724456.300003,28795.000550,4234.878000,0.000000,0.000000,0.000000,757486.178553
2008,G10391,653,Mazeppa Processing Partnership - Mazeppa Sour Gas Plant,211113,HIGH RIVER,Alberta,76827.675688,4398.500075,190.124000,0.000000,0.000000,0.000000,81416.299763
2008,G10392,3775,General Scrap Partnership - Navajo Metals,339990,CALGARY,Alberta,1802.359955,1.650000,56.292200,0.000000,0.000000,0.000000,1860.302155
2008,G10394,21548,Husky Oil Operations Limited - Tucker Thermal,211114,COLD LAKE,Alberta,248261.526245,228.000000,411.240000,0.000000,0.000000,0.000000,248900.766245
2008,G10402,6895,Cardinal River Coals Limited (Teck Coal Limited) - Cheviot Mine (Cardinal River Operations),212114,HINTON,Alberta,70112.027344,31093.001300,6136.714000,0.000000,0.000000,0.000000,107341.742644
2008,G10405,19958,Canadian Gas and Electric - Grande Praire Combined Heat and Power Plant,221119,GRANDE PRAIRIE,Alberta,2147.676025,649.174975,4794.223702,0.000000,0.000000,0.000000,7591.074702
2008,G10406,22750,Connacher Oil and Gas Limited - Great Divide,211114,FORT MCMURRAY,Alberta,154945.718750,480.075000,244.956000,0.000000,0.000000,0.000000,155670.749750
2008,G10408,23275,Canadian Natural Resources Limited - Horizon Oil Sands Processing Plant and Mine,211114,FORT MCMURRAY,Alberta,438939.682129,3486.025050,2195.068000,0.000000,0.000000,0.000000,444620.775179
2008,G10409,22267,Devon Canada Corporation - Jackfish SAGD Plant,211114,CONKIN,Alberta,264246.905350,2621.964925,576.272400,0.000000,0.000000,0.000000,267445.142675
2008,G10412,22493,Shell Canada Limited - Orion Complex,211114,MD OF BONNYVILLE,Alberta,106807.481751,829.175000,594.271600,0.000000,0.000000,0.000000,108230.928351
